city_name,ballot_code,party_avoda,party_shahar_kalkali_hadash,party_bayit_yehudi,party_agudat_israel,party_daled,party_vavmem,party_shahar_koach_hevrati,party_kama,party_koach_lehashpia,party_tzomet,party_tet,party_israel_hofshit_demokratit,party_hakalkalit_hahadasha,party_ichud_bnei_habrit,party_tzav_hashaa,party_hagush_hatana'chi,party_kahol_lavan,party_ani_veata,party_israel_beitenu,party_likud,party_meretz,party_kavod_haadam,party_nativ,party_shma,party_haatzmaim_hachadashim,party_yesh_kivun,party_anachnu,party_raam,party_yesh_atid,party_pesofit,party_tze'irim_bo'arim,party_manhigut_hevratit,party_kol_hasviva_vehachai,party_halev_hayehudi,party_seder_chadash,party_kol,party_beometz_bishvilech,party_kavod_umasoret,party_shas,party_daat_tov_vera
אבו גווייעד שבט,3.1,0,0,0,0,4,21,0,0,0,0,0,0,0,0,0,0,1,0,0,9,0,0,0,0,0,0,0,132,0,0,0,0,0,0,0,0,0,0,0,2
אבו גווייעד שבט,3.2,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,90,0,0,0,0,0,0,0,0,0,0,0,1
אבו גווייעד שבט,3.3,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,150,1,0,0,0,0,0,0,0,0,0,2,0
אבו גווייעד שבט,3.4,0,0,0,0,0,3,0,0,1,0,0,0,0,0,0,0,1,0,0,2,0,0,0,1,0,1,0,96,0,0,1,0,0,0,0,0,0,0,2,0
אבו גוש,1.1,1,0,0,0,171,43,0,0,0,0,1,0,0,0,0,0,0,0,0,11,10,0,0,0,0,0,0,110,5,0,0,1,0,0,0,0,0,0,0,0
אבו גוש,1.2,3,0,0,0,137,40,0,0,0,0,1,0,0,0,0,0,2,0,0,34,8,0,0,0,0,0,0,98,4,0,0,1,0,0,0,0,0,0,1,0
אבו גוש,1.3,2,0,0,0,176,36,0,0,0,0,1,0,0,0,0,0,2,1,0,10,3,0,0,0,0,0,0,81,2,0,1,3,1,0,1,0,1,0,0,0
אבו גוש,3,1,0,0,0,139,33,0,0,0,0,1,0,0,0,0,0,0,0,0,46,3,0,0,0,0,0,0,118,4,0,1,0,0,0,0,0,0,0,2,0
אבו גוש,5,0,0,0,0,102,22,0,0,0,0,1,0,0,0,0,0,0,1,0,20,5,0,0,0,0,0,0,99,3,0,0,1,0,0,0,0,0,0,0,0
אבו גוש,6.1,1,0,0,0,140,43,0,0,0,0,0,0,0,0,0,0,0,0,0,9,2,0,0,0,0,0,0,84,1,0,0,0,0,0,0,0,0,0,0,0
אבו גוש,6.2,3,1,1,2,107,30,0,0,0,0,2,0,0,0,0,0,3,0,1,30,8,0,0,0,0,0,0,105,2,0,0,1,0,0,0,0,2,0,0,0
אבו גוש,6.3,2,0,0,0,157,41,0,0,0,0,3,0,0,0,0,0,0,1,1,30,9,0,0,0,0,0,0,65,3,0,0,0,0,0,0,1,0,0,1,0
אבו גוש,8,1,0,0,1,134,24,0,0,0,0,3,0,0,0,0,0,1,0,0,18,10,0,0,0,0,0,0,78,2,0,0,0,0,0,0,0,0,0,0,0
אבו סנאן,1.1,2,0,0,0,54,114,0,0,1,0,0,0,0,0,0,0,6,0,1,12,2,0,0,0,0,0,0,65,0,0,0,1,0,1,0,0,0,0,1,0
